Salary, Target,		WageTaxClass, KVZ, PVZ, LZZ
60000,	10378,		4,			  1.6,   1,	1
62500,	11206,		4,			  1.6,   1,	1
65000,	12053,		4,			  1.6,   1,	1
67500,	12920,		4,			  1.6,   1,	1
70000,	13807,		4,			  1.6,   1,	1
72500,	14714,		4,			  1.6,   1,	1
75000,	15640,		4,			  1.6,   1,	1
77500,	16586,		4,			  1.6,   1,	1
80000,	17538,		4,			  1.6,   1,	1
82500,	18490,		4,			  1.6,   1,	1
85000,	19442,		4,			  1.6,   1,	1
87500,	20395,		4,			  1.6,   1,	1
90000,	21441,		4,			  1.6,   1,	1
5000,	373,		5,			  1.6,   1,	1
7500,	649,		5,			  1.6,   1,	1
10000,	924,		5,			  1.6,   1,	1
12500,	1199,		5,			  1.6,   1,	1
15000,	1475,		5,			  1.6,   1,	1
17500,	1839,		5,			  1.6,   1,	1
20000,	2777,		5,			  1.6,   1,	1
22500,	3628,		5,			  1.6,   1,	1
25000,	4479,		5,			  1.6,   1,	1
27500,	5329,		5,			  1.6,   1,	1
30000,	6148,		5,			  1.6,   1,	1
32500,	6884,		5,			  1.6,   1,	1
35000,	7652,		5,			  1.6,   1,	1
37500,	8452,		5,			  1.6,   1,	1
40000,	9282,		5,			  1.6,   1,	1
42500,	10131,		5,			  1.6,   1,	1
45000,	10982,		5,			  1.6,   1,	1
47500,	11832,		5,			  1.6,   1,	1
50000,	12683,		5,			  1.6,   1,	1
52500,	13534,		5,			  1.6,   1,	1
55000,	14385,		5,			  1.6,   1,	1
57500,	15235,		5,			  1.6,   1,	1
60000,	16092,		5,			  1.6,   1,	1
62500,	17045,		5,			  1.6,   1,	1
65000,	17997,		5,			  1.6,   1,	1
67500,	18950,		5,			  1.6,   1,	1
70000,	19902,		5,			  1.6,   1,	1
72500,	20854,		5,			  1.6,   1,	1
75000,	21806,		5,			  1.6,   1,	1
77500,	22759,		5,			  1.6,   1,	1
80000,	23711,		5,			  1.6,   1,	1
82500,	24664,		5,			  1.6,   1,	1
85000,	25616,		5,			  1.6,   1,	1
87500,	26568,		5,			  1.6,   1,	1
90000,	27614,		5,			  1.6,   1,	1
5000,	550,		6,			  1.6,   1,	1
7500,	826,		6,			  1.6,   1,	1
10000,	1101,		6,			  1.6,   1,	1
12500,	1377,		6,			  1.6,   1,	1
15000,	1652,		6,			  1.6,   1,	1
17500,	2371,		6,			  1.6,   1,	1
20000,	3309,		6,			  1.6,   1,	1
22500,	4159,		6,			  1.6,   1,	1
25000,	5010,		6,			  1.6,   1,	1
27500,	5861,		6,			  1.6,   1,	1
30000,	6606,		6,			  1.6,   1,	1
32500,	7360,		6,			  1.6,   1,	1
35000,	8146,		6,			  1.6,   1,	1
37500,	8966,		6,			  1.6,   1,	1
40000,	9812,		6,			  1.6,   1,	1
42500,	10663,		6,			  1.6,   1,	1
45000,	11513,		6,			  1.6,   1,	1
47500,	12364,		6,			  1.6,   1,	1
50000,	13215,		6,			  1.6,   1,	1
52500,	14066,		6,			  1.6,   1,	1
55000,	14916,		6,			  1.6,   1,	1
57500,	15767,		6,			  1.6,   1,	1
60000,	16624,		6,			  1.6,   1,	1
62500,	17577,		6,			  1.6,   1,	1
65000,	18529,		6,			  1.6,   1,	1
67500,	19481,		6,			  1.6,   1,	1
70000,	20433,		6,			  1.6,   1,	1
72500,	21386,		6,			  1.6,   1,	1
75000,	22338,		6,			  1.6,   1,	1
77500,	23291,		6,			  1.6,   1,	1
80000,	24243,		6,			  1.6,   1,	1
82500,	25195,		6,			  1.6,   1,	1
85000,	26148,		6,			  1.6,   1,	1
87500,	27100,		6,			  1.6,   1,	1
90000,	28146,		6,			  1.6,   1,	1
